FLOW_ID,IP_SOURCE,PORT_SOURCE,IP_DESTINATION,PORT_DESTINATION,PROTOCOL,FIRST_TIMESTAMP,LAST_TIMESTAMP,DURATION,FWD_PACKET_COUNT,BWD_PACKET_COUNT,FWD_PKT_LEN_TOT,BWD_PKT_LEN_TOT,FWD_PKT_LEN_MAX,FWD_PKT_LEN_MIN,FWD_PKT_LEN_MEAN,FWD_PKT_LEN_STD,BWD_PKT_LEN_MAX,BWD_PKT_LEN_MIN,BWD_PKT_LEN_MEAN,BWD_PKT_LEN_STD,FLOW_BYTES_S,FLOW_PACKETS_S,FLOW_IAT_MEAN,FLOW_IAT_STD,FLOW_IAT_MAX,FLOW_IAT_MIN,FWD_IAT_TOTAL,FWD_IAT_MEAN,FWD_IAT_STD,FWD_IAT_MAX,FWD_IAT_MIN,BWD_IAT_TOTAL,BWD_IAT_MEAN,BWD_IAT_STD,BWD_IAT_MAX,BWD_IAT_MIN,FWD_PSH_FLAG_COUNT,BWD_PSH_FLAG_COUNT,FWD_URG_FLAG_COUNT,BWD_URG_FLAG_COUNT,FWD_HEADER_LENGTH,BWD_HEADER_LENGTH,FWD_PACKETS_S,BWD_PACKETS_S,FLOW_PACKET_LENGTH_MIN,FLOW_PACKET_LENGTH_MAX,FLOW_PACKET_LENGTH_MEAN,FLOW_PACKET_LENGTH_STD,FLOW_PACKET_LENGTH_VARIANCE,FLOW_FIN_COUNT,FLOW_SYN_COUNT,FLOW_RST_COUNT,FLOW_PSH_COUNT,FLOW_ACK_COUNT,FLOW_URG_COUNT,FLOW_CWE_COUNT,FLOW_ECE_COUNT,DOWN_UP_RATIO,FLOW_SEGMENT_LENGTH_MEAN,FWD_SEGMENT_LENGTH_MEAN,BWD_SEGMENT_LENGTH_MEAN,FWD_HEADER_LENGTH,FWD_BYTES_BULK,FWD_PACKETS_BULK,FWD_BULK_RATE,BWD_BYTES_BULK,BWD_PACKETS_BULK,BWD_BULK_RATE,SF_FWD_PACKETS,SF_FWD_BYTES,SF_BWD_PACKETS,SF_BWD_BYTES,FWD_INIT_WIN_BYTES,BWD_INIT_WIN_BYTES,FWD_ACT_DATA_PKT,FWD_HEADER_LEN_MIN,ACTIVE_MEAN,ACTIVE_STD,ACTIVE_MAX,ACTIVE_MIN,IDLE_MEAN,IDLE_STD,IDLE_MAX,IDLE_MIN,label,category,subcategory
192.168.126.228:40363-192.168.126.224:443-6,192.168.126.228,40363,192.168.126.224,443,6,2024-07-26 20:46:28.570650 UTC,2024-07-26 20:46:28.570660 UTC,10,1,1,0,0,0,0,0,0,0,0,0,0,0,199999.99999999997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,20,99999.99999999999,99999.99999999999,0,0,0,0,0,0,1,1,0,1,0,0,0,1,42,44,40,24,0,0,0,0,0,0,0,0,0,0,1024,0,0,24,0,0,0,0,0,0,0,0,1,scanning,nmap
192.168.126.228:40363-192.168.126.224:80-6,192.168.126.228,40363,192.168.126.224,80,6,2024-07-26 20:46:28.570714 UTC,2024-07-26 20:46:28.570724 UTC,10,1,1,0,0,0,0,0,0,0,0,0,0,0,199999.99999999997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,99999.99999999999,99999.99999999999,0,0,0,0,0,0,0,1,0,1,0,0,0,1,40,40,40,20,0,0,0,0,0,0,0,0,0,0,1024,0,0,20,0,0,0,0,0,0,0,0,1,scanning,nmap
192.168.126.228:40619-192.168.126.224:8080-6,192.168.126.228,40619,192.168.126.224,8080,6,2024-07-26 20:46:28.618456 UTC,2024-07-26 20:46:28.618481 UTC,25,1,1,0,0,0,0,0,0,0,0,0,0,0,80000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,20,40000,40000,0,0,0,0,0,0,1,1,0,1,0,0,0,1,42,44,40,24,0,0,0,0,0,0,0,0,0,0,1024,0,0,24,0,0,0,0,0,0,0,0,1,scanning,nmap
192.168.126.228:40619-192.168.126.224:80-6,192.168.126.228,40619,192.168.126.224,80,6,2024-07-26 20:46:28.618544 UTC,2024-07-26 20:46:28.618598 UTC,54,2,1,0,0,0,0,0,0,0,0,0,0,0,55555.555555555555,36,0,54,54,54,54,0,54,54,0,0,0,0,0,0,0,0,0,44,24,37037.03703703704,18518.51851851852,0,0,0,0,0,0,2,1,0,1,0,0,0,2,42.666668,42,44,44,0,0,0,0,0,0,0,0,0,0,1024,64800,0,20,0,0,0,0,0,0,0,0,1,scanning,nmap
192.168.126.228:40619-192.168.126.224:443-6,192.168.126.228,40619,192.168.126.224,443,6,2024-07-26 20:46:28.618643 UTC,2024-07-26 20:46:28.618649 UTC,6,1,1,0,0,0,0,0,0,0,0,0,0,0,333333.3333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,20,166666.66666666666,166666.66666666666,0,0,0,0,0,0,1,1,0,1,0,0,0,1,42,44,40,24,0,0,0,0,0,0,0,0,0,0,1024,0,0,24,0,0,0,0,0,0,0,0,1,scanning,nmap
192.168.126.228:40619-192.168.126.224:75-6,192.168.126.228,40619,192.168.126.224,75,6,2024-07-26 20:46:28.618700 UTC,2024-07-26 20:46:28.618713 UTC,13,1,1,0,0,0,0,0,0,0,0,0,0,0,153846.15384615384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,20,76923.07692307692,76923.07692307692,0,0,0,0,0,0,1,1,0,1,0,0,0,1,42,44,40,24,0,0,0,0,0,0,0,0,0,0,1024,0,0,24,0,0,0,0,0,0,0,0,1,scanning,nmap
192.168.126.228:40619-192.168.126.224:73-6,192.168.126.228,40619,192.168.126.224,73,6,2024-07-26 20:46:28.618765 UTC,2024-07-26 20:46:28.618784 UTC,19,1,1,0,0,0,0,0,0,0,0,0,0,0,105263.15789473684,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,20,52631.57894736842,52631.57894736842,0,0,0,0,0,0,1,1,0,1,0,0,0,1,42,44,40,24,0,0,0,0,0,0,0,0,0,0,1024,0,0,24,0,0,0,0,0,0,0,0,1,scanning,nmap
192.168.126.228:40619-192.168.126.224:77-6,192.168.126.228,40619,192.168.126.224,77,6,2024-07-26 20:46:28.618837 UTC,2024-07-26 20:46:28.618851 UTC,14,1,1,0,0,0,0,0,0,0,0,0,0,0,142857.14285714287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,20,71428.57142857143,71428.57142857143,0,0,0,0,0,0,1,1,0,1,0,0,0,1,42,44,40,24,0,0,0,0,0,0,0,0,0,0,1024,0,0,24,0,0,0,0,0,0,0,0,1,scanning,nmap
192.168.126.228:40619-192.168.126.224:78-6,192.168.126.228,40619,192.168.126.224,78,6,2024-07-26 20:46:28.618904 UTC,2024-07-26 20:46:28.618913 UTC,9,1,1,0,0,0,0,0,0,0,0,0,0,0,222222.22222222222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,20,111111.11111111111,111111.11111111111,0,0,0,0,0,0,1,1,0,1,0,0,0,1,42,44,40,24,0,0,0,0,0,0,0,0,0,0,1024,0,0,24,0,0,0,0,0,0,0,0,1,scanning,nmap
192.168.126.228:40619-192.168.126.224:74-6,192.168.126.228,40619,192.168.126.224,74,6,2024-07-26 20:46:28.618964 UTC,2024-07-26 20:46:28.618977 UTC,13,1,1,0,0,0,0,0,0,0,0,0,0,0,153846.15384615384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,20,76923.07692307692,76923.07692307692,0,0,0,0,0,0,1,1,0,1,0,0,0,1,42,44,40,24,0,0,0,0,0,0,0,0,0,0,1024,0,0,24,0,0,0,0,0,0,0,0,1,scanning,nmap
