FLOW_ID,IP_SOURCE,PORT_SOURCE,IP_DESTINATION,PORT_DESTINATION,PROTOCOL,FIRST_TIMESTAMP,LAST_TIMESTAMP,DURATION,FWD_PACKET_COUNT,BWD_PACKET_COUNT,FWD_PKT_LEN_TOT,BWD_PKT_LEN_TOT,FWD_PKT_LEN_MAX,FWD_PKT_LEN_MIN,FWD_PKT_LEN_MEAN,FWD_PKT_LEN_STD,BWD_PKT_LEN_MAX,BWD_PKT_LEN_MIN,BWD_PKT_LEN_MEAN,BWD_PKT_LEN_STD,FLOW_BYTES_S,FLOW_PACKETS_S,FLOW_IAT_MEAN,FLOW_IAT_STD,FLOW_IAT_MAX,FLOW_IAT_MIN,FWD_IAT_TOTAL,FWD_IAT_MEAN,FWD_IAT_STD,FWD_IAT_MAX,FWD_IAT_MIN,BWD_IAT_TOTAL,BWD_IAT_MEAN,BWD_IAT_STD,BWD_IAT_MAX,BWD_IAT_MIN,FWD_PSH_FLAG_COUNT,BWD_PSH_FLAG_COUNT,FWD_URG_FLAG_COUNT,BWD_URG_FLAG_COUNT,FWD_HEADER_LENGTH,BWD_HEADER_LENGTH,FWD_PACKETS_S,BWD_PACKETS_S,FLOW_PACKET_LENGTH_MIN,FLOW_PACKET_LENGTH_MAX,FLOW_PACKET_LENGTH_MEAN,FLOW_PACKET_LENGTH_STD,FLOW_PACKET_LENGTH_VARIANCE,FLOW_FIN_COUNT,FLOW_SYN_COUNT,FLOW_RST_COUNT,FLOW_PSH_COUNT,FLOW_ACK_COUNT,FLOW_URG_COUNT,FLOW_CWE_COUNT,FLOW_ECE_COUNT,DOWN_UP_RATIO,FLOW_SEGMENT_LENGTH_MEAN,FWD_SEGMENT_LENGTH_MEAN,BWD_SEGMENT_LENGTH_MEAN,FWD_HEADER_LENGTH,FWD_BYTES_BULK,FWD_PACKETS_BULK,FWD_BULK_RATE,BWD_BYTES_BULK,BWD_PACKETS_BULK,BWD_BULK_RATE,SF_FWD_PACKETS,SF_FWD_BYTES,SF_BWD_PACKETS,SF_BWD_BYTES,FWD_INIT_WIN_BYTES,BWD_INIT_WIN_BYTES,FWD_ACT_DATA_PKT,FWD_HEADER_LEN_MIN,ACTIVE_MEAN,ACTIVE_STD,ACTIVE_MAX,ACTIVE_MIN,IDLE_MEAN,IDLE_STD,IDLE_MAX,IDLE_MIN,label,category,subcategory
192.168.177.151:48385-192.168.126.204:443-6,192.168.177.151,48385,192.168.126.204,443,6,2024-07-19 09:12:27.941074 UTC,2024-07-19 09:12:27.941113 UTC,39,1,1,0,0,0,0,0,0,0,0,0,0,0,51282.05128205128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,20,25641.02564102564,25641.02564102564,0,0,0,0,0,0,1,1,0,1,0,0,0,1,42,44,40,24,0,0,0,0,0,0,0,0,0,0,1024,0,0,24,0,0,0,0,0,0,0,0,1,scanning,nmap
192.168.177.151:48385-192.168.126.204:80-6,192.168.177.151,48385,192.168.126.204,80,6,2024-07-19 09:12:27.941198 UTC,2024-07-19 09:12:27.941230 UTC,32,1,1,0,0,0,0,0,0,0,0,0,0,0,62500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,31250,31250,0,0,0,0,0,0,0,1,0,1,0,0,0,1,40,40,40,20,0,0,0,0,0,0,0,0,0,0,1024,0,0,20,0,0,0,0,0,0,0,0,1,scanning,nmap
192.168.177.151:48645-192.168.126.204:78-17,192.168.177.151,48645,192.168.126.204,78,17,2024-07-19 09:12:30.397376 UTC,2024-07-19 09:12:30.397376 UTC,0,1,0,0,0,0,0,0,0,0,0,0,0,NaN,inf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,inf,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,1,scanning,nmap
192.168.177.151:48641-192.168.126.204:73-17,192.168.177.151,48641,192.168.126.204,73,17,2024-07-19 09:12:28.192340 UTC,2024-07-19 09:12:28.192340 UTC,0,1,0,0,0,0,0,0,0,0,0,0,0,NaN,inf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,inf,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,1,scanning,nmap
192.168.177.151:48641-192.168.126.204:443-17,192.168.177.151,48641,192.168.126.204,443,17,2024-07-19 09:12:28.191929 UTC,2024-07-19 09:12:28.192116 UTC,187,3,0,95,0,67,14,31.666666,24.98444,0,0,0,0,508021.39037433156,16042.780748663103,93,0,177,9,186,93,84,177,9,0,0,0,0,0,0,0,0,0,24,0,16042.780748663103,0,14,67,31.666666,0,0,0,0,0,0,0,0,0,0,0,39.666668,39.666668,0,24,0,0,0,0,0,0,0,0,0,0,0,0,3,8,0,0,0,0,0,0,0,0,1,scanning,nmap
192.168.177.151:48649-192.168.126.204:73-17,192.168.177.151,48649,192.168.126.204,73,17,2024-07-19 09:12:32.599970 UTC,2024-07-19 09:12:32.599970 UTC,0,1,0,0,0,0,0,0,0,0,0,0,0,NaN,inf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,inf,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,1,scanning,nmap
192.168.177.151:48643-192.168.126.204:8080-17,192.168.177.151,48643,192.168.126.204,8080,17,2024-07-19 09:12:29.293608 UTC,2024-07-19 09:12:29.293608 UTC,0,1,0,0,0,0,0,0,0,0,0,0,0,NaN,inf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,inf,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,1,scanning,nmap
192.168.177.151:48645-192.168.126.204:70-17,192.168.177.151,48645,192.168.126.204,70,17,2024-07-19 09:12:30.397360 UTC,2024-07-19 09:12:30.397360 UTC,0,1,0,0,0,0,0,0,0,0,0,0,0,NaN,inf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,inf,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,1,scanning,nmap
192.168.177.151:48645-192.168.126.204:77-17,192.168.177.151,48645,192.168.126.204,77,17,2024-07-19 09:12:30.397126 UTC,2024-07-19 09:12:30.397126 UTC,0,1,0,0,0,0,0,0,0,0,0,0,0,NaN,inf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,inf,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,1,scanning,nmap
192.168.177.151:48643-192.168.126.204:72-17,192.168.177.151,48643,192.168.126.204,72,17,2024-07-19 09:12:29.293438 UTC,2024-07-19 09:12:29.293438 UTC,0,1,0,0,0,0,0,0,0,0,0,0,0,NaN,inf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,inf,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,1,scanning,nmap
